protectedAreaName,nameAlias,protectedAreaType,state,wikipediaUrl,imageUrl,location,formed,area,notableFeatures,floraAndFauna,flora,fauna,riversAndLakes,landmarks
Jim Corbett National Park,,National Park,Uttarakhand,https://en.wikipedia.org/wiki/Jim_Corbett_National_Park,,,,,"First national park in India (established in 1936 as Hailey National Park). Report titled ‘Status of Tigers Co-predators and Prey in India’, released by the Union Ministry of Environment, Forest and Climate Change for 2018-19 revealed that national park has 14 tigers per 100 square kilometers which is highest in India. Dhikala grasslands",,,,Ramganga,
Nanda Devi National Park,,National Park,Uttarakhand,https://en.wikipedia.org/wiki/Nanda_Devi_National_Park,,,,,,,,"UNESCO World Heritage Site, UNESCO World Biosphere Reserve",,
Rajaji National Park,,National Park,Uttarakhand,https://en.wikipedia.org/wiki/Rajaji_National_Park,,,,,,,,"Mainly known for elephants, tigers, leopards and several species of birds, reptiles and mammals.",Ganga river,
Valley of Flowers National Park,,National Park,Uttarakhand,https://en.wikipedia.org/wiki/Valley_of_Flowers_National_Park,,,,,,,,"UNESCO World Heritage Site, Most beautiful national park in the world",,
Buxa Tiger Reserve,,Tiger Reserve,West Bengal,https://en.wikipedia.org/wiki/Buxa_Tiger_Reserve,,"The Phibsoo Wildlife Sanctuary of Bhutan is contiguous to the north of BTR To the south-west, the Chilapata Forests form an elephant corridor to the Jaldapara Wildlife Sanctuary",,,"""Terai Eco-System"" Northern boundary along international border with Bhutan and eastern boundary touches Assam The fragile ""Terai Eco-System"" constitutes a part of this reserve Buxa, serves as an international corridor for Asian elephant migration between India and Bhutan Rajabhatkhawa Vulture Breeding Centre was established by Bombay Natural History Society to emulate the success of Jatayu Conservation Breeding Centre, Pinjore",,,"Indian leopard, Bengal tiger, clouded leopard, giant squirrel, gaur, chital and wild boar Eurasian griffon, Amur falcon Endangered species include leopard cat, Bengal florican, regal python, Chinese pangolin, hispid hare, hog deer lesser adjutant, white-rumped vulture, slender-billed vulture, chestnut-breasted partridge, rufous necked hornbill, ferruginous pochard and great hornbill",,
Gorumara National Park,,National Park,West Bengal,https://en.wikipedia.org/wiki/Gorumara_National_Park,,,,,,,,"The park is rich in large herbivores including Indian rhinoceros, gaur, Asian elephant, sloth bear, chital, and sambar deer","Jaldhaka, Naora",
Jaldapara National Park,,National Park,West Bengal,https://en.wikipedia.org/wiki/Jaldapara_National_Park,,,,,,,,Indian rhinoceros,Torsa River,
Neora Valley National Park,,National Park,West Bengal,https://en.wikipedia.org/wiki/Neora_Valley_National_Park,,Connected to the Phibsoo Wildlife Sanctuary of Bhutan,,,,,,red panda (EN),,
Singalila National Park,,National Park,West Bengal,https://en.wikipedia.org/wiki/Singalila_National_Park,,Tonglu mountain in the Singalila Ridge on the border with Nepal,,,,,,,"Rangeet River, Rammam river",
Sundarbans National Park,,National Park,West Bengal,https://en.wikipedia.org/wiki/Sundarbans_National_Park,,,,,UNESCO World Heritage Site Ramsar site Tiger reserve,,,,,
