protectedAreaName,protectedAreaType,state,wikipediaUrl,declared,area,district
Haliday Island Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Haliday_Island_Wildlife_Sanctuary,1976,5.95,South 24-Paraganas
Jore Pokhri Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Jore_Pokhri_Wildlife_Sanctuary,1985,0.04,Darjeeling
Lothian Island Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Lothian_Island_Wildlife_Sanctuary,1976,38,South 24-Paraganas
Mahananda Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Mahananda_Wildlife_Sanctuary,1976,158.04,Darjeeling
Pakhibitan Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Pakhibitan_Wildlife_Sanctuary?action=edit&redlink=1,2011,14.09,Jalpaiguri
Raiganj Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Raiganj_Wildlife_Sanctuary,1985,1.3,North Dinajpur
Ramnabagan Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Ramnabagan_Wildlife_Sanctuary,1981,0.15,Burdwan
Sajnakhali Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Sajnakhali_Wildlife_Sanctuary,1976,362.4,South 24-Paraganas
Senchal Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Senchal_Wildlife_Sanctuary,1976,38.88,Darjeeling
West Sunderban Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/West_Sunderban_Wildlife_Sanctuary,2013,556.45,South 24-Paraganas
