"paName","state","correctPaName","correctState","correctPaType","orderNumber","correctOrderNumber"
"Kwang Tung Wildlife Sanctuary","Andaman and Nicobar","Kwangtung Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Kyd Wildlife Sanctuary","Andaman and Nicobar","Kyd Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Landfall Wildlife Sanctuary","Andaman and Nicobar","Landfall Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Latouche Wildlife Sanctuary","Andaman and Nicobar","Latouche Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Mangrove Wildlife Sanctuary","Andaman and Nicobar","Mangrove Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Mask Wildlife Sanctuary","Andaman and Nicobar","Mask Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Mayo Wildlife Sanctuary","Andaman and Nicobar","Mayo Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Megapode Wildlife Sanctuary","Andaman and Nicobar","Megapode Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Montgomery Wildlife Sanctuary","Andaman and Nicobar","Montogemery Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Narcondam Wildlife Sanctuary","Andaman and Nicobar","Narcondam Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"North Brother Wildlife Sanctuary","Andaman and Nicobar","North Brother Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"North Reef Wildlife Sanctuary","Andaman and Nicobar","North Reef Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"North Wildlife Sanctuary","Andaman and Nicobar","North Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Oliver Wildlife Sanctuary","Andaman and Nicobar","Oliver Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Orchid Wildlife Sanctuary","Andaman and Nicobar","Orchid Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Ox Wildlife Sanctuary","Andaman and Nicobar","Ox Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Oyester I Wildlife Sanctuary","Andaman and Nicobar","Oyster Island‑I Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Oyester II Wildlife Sanctuary","Andaman and Nicobar","Oyster Island‑II Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Paget Wildlife Sanctuary","Andaman and Nicobar","Paget Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Parkinson Wildlife Sanctuary","Andaman and Nicobar","Parkinson Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Passage Wildlife Sanctuary","Andaman and Nicobar","Passage Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Petric Wildlife Sanctuary","Andaman and Nicobar","Patric Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Pitman Wildlife Sanctuary","Andaman and Nicobar","Pitman Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Peacock Wildlife Sanctuary","Andaman and Nicobar","Peacock Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Point Wildlife Sanctuary","Andaman and Nicobar","Point Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Potanma Wildlife Sanctuary","Andaman and Nicobar","Potanma Islands Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Ranger Wildlife Sanctuary","Andaman and Nicobar","Ranger Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Reef Wildlife Sanctuary","Andaman and Nicobar","Reef Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Roper Wildlife Sanctuary","Andaman and Nicobar","Roper Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Ross Wildlife Sanctuary","Andaman and Nicobar","Ross Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Rowe Wildlife Sanctuary","Andaman and Nicobar","Rowe Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Sandy Wildlife Sanctuary","Andaman and Nicobar","Sandy Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Sea Serpent Wildlife Sanctuary","Andaman and Nicobar","Sea Serpent Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Shark Wildlife Sanctuary","Andaman and Nicobar","Shark Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Shearme Wildlife Sanctuary","Andaman and Nicobar","Shearme Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Sir Hugh Rose Wildlife Sanctuary","Andaman and Nicobar","Sir Hugh Rose Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Sisters Wildlife Sanctuary","Andaman and Nicobar","Sisters Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Snake Island Wildlife Sanctuary","Andaman and Nicobar","Snake Island‑I Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Snake-I Wildlife Sanctuary","Andaman and Nicobar","Snake Island‑II Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"South Brother Wildlife Sanctuary","Andaman and Nicobar","South Brother Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"South Reef Wildlife Sanctuary","Andaman and Nicobar","South Reef Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"South Sentinel Wildlife Sanctuary","Andaman and Nicobar","South Sentinel Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Spike II Wildlife Sanctuary","Andaman and Nicobar","Spike Island‑II Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Spike-I Wildlife Sanctuary","Andaman and Nicobar","Spike Island‑I Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Stoat Wildlife Sanctuary","Andaman and Nicobar","Stoat Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Surat Wildlife Sanctuary","Andaman and Nicobar","Surat Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Swamp Wildlife Sanctuary","Andaman and Nicobar","Swamp Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Table Dalgarno Wildlife Sanctuary","Andaman and Nicobar","Table (Delgarno) Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Table(Excelsior) Wildlife Sanctuary","Andaman and Nicobar","Table (Excelsior) Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Talabaicha Wildlife Sanctuary","Andaman and Nicobar","Talabaicha Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Temple Wildlife Sanctuary","Andaman and Nicobar","Temple Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Tillongchong Wildlife Sanctuary","Andaman and Nicobar","Tillongchang Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Tree Wildlife Sanctuary","Andaman and Nicobar","Tree Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Trilby Wildlife Sanctuary","Andaman and Nicobar","Trilby Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Tuft Wildlife Sanctuary","Andaman and Nicobar","Tuft Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Turtle Wildlife Sanctuary","Andaman and Nicobar","Turtle Islands Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"West Wildlife Sanctuary","Andaman and Nicobar","West Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Wharf Wildlife Sanctuary","Andaman and Nicobar","Wharf Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"White Cliff Wildlife Sanctuary","Andaman and Nicobar","White Cliff Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Eagle Nest Wildlife","Arunachal Pradesh","Eagle Nest Wildlife Sanctuary","Arunachal Pradesh","Wildlife Sanctuary"
"Sonai-Rupai Wildlife","Assam","Sonai Rupai Wildlife Sanctuary","Assam","Wildlife Sanctuary"
"Mahuadanr Wolf Sanctuary Sanctuary","Jharkhand","Mahuadanr Wolf Sanctuary","Jharkhand","Wildlife Sanctuary"
"Col Sher Jun National Park Earlier Simbalbara National Park","Himachal Pradesh","Simbalbara National Park","Himachal Pradesh","National Park"
"Col. Sher Jung National Park also known as Simbalbara National Park","Himachal Pradesh","Simbalbara National Park","Himachal Pradesh","National Park"
"Kaimur Wildlife Sanctuarry","Bihar","Kaimur Wildlife Sanctuary","Bihar","Wildlife Sanctuary"
"Velvadar Black Buck Wildlife Sanctuary","Gujarat","Blackbuck National Park","Gujarat","National Park"
