wikidataId,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl
Q10428494,Hill Forts of Rajasthan,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jaipur%2003-2016%2004%20Amber%20Fort.jpg,,Rajasthan,Rajasthan,24.883306,74.646111,,World Heritage Site,3460,,,Hill forts of Rajasthan World Heritage Site,,https://en.wikipedia.org/wiki/Hill_Forts_of_Rajasthan
Q11927133,Q11927133,,,,IUCN category IV: Habitat/Species Management Area,Rajasthan,Rajasthan,24.30426,73.86435,,,,,,,,https://en.wikipedia.org/wiki/Jaisamand_Wildlife_Sanctuary
Q12060948,Kambalakonda Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Kambhalakonda%20EDC%20Vizag.jpg,IUCN category IV: Habitat/Species Management Area,Andhra Pradesh,Andhra Pradesh,17.82527778,83.30861111,Visakhapatnam,,,http://forest.ap.nic.in/WL%20KAMBALAKONDA.htm,,Kambalakonda Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Kambalakonda_Wildlife_Sanctuary
Q12433409,Dalma Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Wild%20Abode.jpg,IUCN category IV: Habitat/Species Management Area,Jharkhand,Jharkhand,22.90416667,86.21638889,Jamshedpur,,,,,Dalma Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Dalma_Wildlife_Sanctuary
Q12988826,Vallanadu Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/BlackbuckAntelope2.jpg,IUCN category IV: Habitat/Species Management Area,Tamil Nadu,Tamil Nadu,8.7011,77.8876,Tirunelveli,,,http://www.forests.tn.nic.in/WildBiodiversity/ws_vbs.html,,Vallanadu Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Vallanadu_Wildlife_Sanctuary
Q13111039,Karaivetti Bird Sanctuary,Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Waterfowls%20in%20Karaivetti%20Bird%20Sanctuary%20JEG3092.jpg,IUCN category IV: Habitat/Species Management Area,Ariyalur district,Tamil Nadu,10.970277777,79.041388888,,,4.537,,,Karaivetti Bird Sanctuary,,https://en.wikipedia.org/wiki/Karaivetti_Bird_Sanctuary
Q13111992,Chulannur Peafowl Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Kerala,Kerala,10.714444444,76.472222222,,,,,,Chulannur Peafowl Sanctuary,,https://en.wikipedia.org/wiki/Choolannur_Pea_Fowl_Sanctuary
Q13116281,Karian Shola National Park,National Park,Western Ghats,,,,,10.38333333,77.08333333,,part of UNESCO World Heritage Site,503,,,,,https://en.wikipedia.org/wiki/Karian_Shola_National_Park
Q13118992,Pritisangam,,,,,,,17.285,74.184,Karad,,,,,,,https://en.wikipedia.org/wiki/Pritisangam
Q14229383,Pin Valley National Park,National Park,Cold Desert,http://commons.wikimedia.org/wiki/Special:FilePath/Morning%20scene%20in%20Thuskeo%20Dhar.jpg,IUCN category II: National Park,Himachal Pradesh,Himachal Pradesh,31.574166666,77.588888888,Kaza,Tentative World Heritage Site,,https://hplahaulspiti.nic.in/pin-valley-national-park/,,Pin Valley National Park,,https://en.wikipedia.org/wiki/Pin_Valley_National_Park
Q14618939,Nambor Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Golaghat district,Assam,26.39527778,93.8825,Diphu,,,,,,,https://en.wikipedia.org/wiki/Nambor_Wildlife_Sanctuary
Q2397554,Bhagwan Mahaveer Sanctuary and Mollem National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Mollem%20ticket%20sign.JPG,IUCN category II: National Park,South Goa District,Goa,15.37361111,74.25861111,,,107,,,Bhagwan Mahaveer Sanctuary and Mollem National Park,,https://en.wikipedia.org/wiki/Bhagwan_Mahaveer_Sanctuary_and_Mollem_National_Park
Q2428291,Valmiki National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Valmiki%20tiger%20reserve.jpg,IUCN category II: National Park,Bihar,Bihar,27.0652,84.1793,,,,,,Valmiki National Park,,https://en.wikipedia.org/wiki/Valmiki_National_Park
Q2429161,Melghat,,,http://commons.wikimedia.org/wiki/Special:FilePath/Melghat%20Tiger%20Reserve.JPG,,,,21.44583333,77.19722222,,,,http://melghattiger.gov.in/,,Melghat,,https://en.wikipedia.org/wiki/Melghat
Q2572177,Sariska Tiger Reserve,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Deer%20in%20Sariska%20Reserve.jpg,IUCN category IV: Habitat/Species Management Area,Jaipur division,Rajasthan,27.32856,76.43319,Alwar,,219,http://www.sariska.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Sariska%20Reserve%20and%20National%20Park%20banner.jpg,Sariska Tiger Reserve,9466769,https://en.wikipedia.org/wiki/Sariska_Tiger_Reserve
Q2580141,Bhitarkanika National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhitarkanika%20Mangroves%20Flora%20and%20Fauna%2004.JPG,IUCN category II: National Park,Kendrapara district,Odisha,20.6625,86.9341,Kendrapara,,145,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhitarkanika%20National%20Park%20Banner.jpg,Bhitarkanika National Park,,https://en.wikipedia.org/wiki/Bhitarkanika_National_Park
Q2588520,Bannerghatta National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/White%20tiger%20bangalore.jpg,IUCN category II: National Park,Bengaluru North district,Karnataka,12.80083333,77.57555556,Bengaluru,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bannerghatta%20Park%20Banner.jpg,Bannerghatta National Park,,https://en.wikipedia.org/wiki/Bannerghatta_National_Park
Q2604975,Madhav National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Madhav%20Natioinal%20Park.JPG,IUCN category II: National Park,Madhya Pradesh,Madhya Pradesh,25.561666666,77.678055555,,,,,,Madhav National Park,,https://en.wikipedia.org/wiki/Madhav_National_Park
Q2605019,Khangchendzonga National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Abhishek532%20LamuneyValley.jpg,IUCN category II: National Park,Mangan district,Sikkim,27.6563,88.3123,Chungthang,World Heritage Site,178400,,,Khangchendzonga National Park,3895850,https://en.wikipedia.org/wiki/Khangchendzonga_National_Park
Q2639563,Tadoba-Andhari Tiger Reserve,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Tiger%20at%20Tadoba.jpg,IUCN category II: National Park,Chandrapur district,Maharashtra,20.267,79.4291,Chandrapur,,1727.5911,http://www.mytadoba.org/,,Tadoba Andhari Tiger Reserve,,https://en.wikipedia.org/wiki/Tadoba_Andhari_Tiger_Reserve
Q2663264,Betla National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Macaca%20mulatta%20in%20Guiyang.jpg,IUCN category II: National Park,South Chotanagpur division,Jharkhand,23.8878,84.1901,Medininagar,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Betla%20National%20Park%20banner.jpg,Betla National Park,,https://en.wikipedia.org/wiki/Betla_National_Park
Q2667857,Salim Ali National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/RSGC.jpg,IUCN category II: National Park,Srinagar,Jammu and Kashmir,34.081,74.804,Srinagar,,,,,,,https://en.wikipedia.org/wiki/Salim_Ali_National_Park
Q2669063,Vansda National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Vansda%20N%20Park6.jpg,IUCN category II: National Park,Vansda Taluka,Gujarat,20.7333,73.4667,Vansda,,,,,Vansda National Park,,https://en.wikipedia.org/wiki/Vansda_National_Park
Q2720864,Pench National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Pench%20National%20Park%20habitat%20shot.jpg,IUCN category II: National Park,Seoni district,Madhya Pradesh,21.6716,79.3033,,,,http://www.penchnationalpark.in/,http://commons.wikimedia.org/wiki/Special:FilePath/Pench%20National%20Park%20banner.jpg,Pench National Park,,https://en.wikipedia.org/wiki/Pench_National_Park
Q2723560,Nal Sarovar Bird Sanctuary,Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Nal%20sarovar.jpg,IUCN category IV: Habitat/Species Management Area,Ahmedabad district,Gujarat,22.792569444,72.023111111,,,,,,Nal Sarovar Bird Sanctuary,,https://en.wikipedia.org/wiki/Nal_Sarovar_Bird_Sanctuary
Q2723927,Maldhari,,,,,,,21.13555556,70.79666667,,,,,,,,https://en.wikipedia.org/wiki/Maldhari
Q2724481,"Marine National Park, Gulf of Kutch",National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Vast%20Expanse%20of%20Narara%20Sea%20Bed%20during%20Low%20Tide%20of%20Narara%20Marine%20National%20Park.jpg,IUCN category II: National Park,Devbhumi Dwarka district,Gujarat,22.4667,69.6167,Jamnagar,,162.89,,,"Marine National Park, Gulf of Kutch",,"https://en.wikipedia.org/wiki/Marine_National_Park,_Gulf_of_Kutch"
Q2726467,Kutch Bustard Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Sonchiriya.jpg,IUCN category IV: Habitat/Species Management Area,Kutch district,Gujarat,23.219,68.714,,,2,,,,,https://en.wikipedia.org/wiki/Kutch_Bustard_Sanctuary
Q2730580,Khijadiya Bird Sanctuary,Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Flamingoes%20fly%20by%20in%20Khijadiya.jpg,IUCN category IV: Habitat/Species Management Area,Jamnagar district,Gujarat,22.51,70.14,,,6.05,,,Khijadiya Bird Sanctuary,,https://en.wikipedia.org/wiki/Khijadiya_Bird_Sanctuary
Q2731635,Gaga Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Gujarat,Gujarat,22.10775,69.16923,,,,,,,,https://en.wikipedia.org/wiki/Gaga_Wildlife_Sanctuary
Q2757724,Jambughoda Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Jambughoda Taluka,Gujarat,22.3667,73.7167,Vadodara,,,,,,,https://en.wikipedia.org/wiki/Jambughoda_Wildlife_Sanctuary
