wikidataId,wikidataUrl,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,stateSuggestedQid,stateSuggestedLabel,stateConfidence,stateEvidence,quickstatement
Q17010836,https://www.wikidata.org/wiki/Q17010836,Achabal Wildlife Sanctuary,Wildlife Sanctuary,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Achabal_Wildlife_Sanctuary,Q66278313,Jammu and Kashmir,medium,"wikilink #2 in the lead, ""Jammu and Kashmir (union territory)"" (Q66278313), is an instance of Q467745",Q17010836	P131	Q66278313
Q17138383,https://www.wikidata.org/wiki/Q17138383,Rajparian Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,,,33.6594,75.4714,,,,,,,,https://en.wikipedia.org/wiki/Rajparian_Wildlife_Sanctuary,Q66278313,Jammu and Kashmir,medium,"wikilink #2 in the lead, ""Jammu and Kashmir (union territory)"" (Q66278313), is an instance of Q467745",Q17138383	P131	Q66278313
Q1544313,https://www.wikidata.org/wiki/Q1544313,Rani Jhansi Marine National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Ritchies%20Archipelago%20locale.png,IUCN category II: National Park,,,11.78333333,92.66666667,,,320.06,,,,,https://en.wikipedia.org/wiki/Rani_Jhansi_Marine_National_Park,Q40888,Andaman and Nicobar Islands,high,"1st wikilink in the lead, ""Andaman and Nicobar Islands"" (Q40888), is an instance of Q467745",Q1544313	P131	Q40888
Q1723746,https://www.wikidata.org/wiki/Q1723746,Kanger Ghati National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Kanger%20valley12.JPG,IUCN category II: National Park,,,18.832,82.011,Jagdalpur,Tentative World Heritage Site,200,,,Kanger Ghati National Park,,https://en.wikipedia.org/wiki/Kanger_Valley_National_Park,Q1168,Chhattisgarh,low,"ambiguous: lead links to 2 different matching items (Q1168, Q22048); using the first, ""Chhattisgarh""",
Q4941423,https://www.wikidata.org/wiki/Q4941423,Bondla Wildlife Sanctuary,Wildlife Sanctuary,,,,,,15.4268,74.1136,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bondla%20Banner.jpg,Bondla Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Bondla_Wildlife_Sanctuary,Q1171,Goa,medium,"wikilink #2 in the lead, ""Goa"" (Q1171), is an instance of Q12443800",Q4941423	P131	Q1171
Q5074314,https://www.wikidata.org/wiki/Q5074314,Chari-Dhand Wetland Conservation Reserve,,,,,,,23.56272222,69.413,,Ramsar site,,,,,,https://en.wikipedia.org/wiki/Chari-Dhand_Wetland_Conservation_Reserve,Q1061,Gujarat,medium,"wikilink #2 in the lead, ""Gujarat"" (Q1061), is an instance of Q12443800",Q5074314	P131	Q1061
Q6796837,https://www.wikidata.org/wiki/Q6796837,Mayani Bird Sanctuary,Bird Sanctuary,,,,,,17.41666667,74.5,,,,,,,,https://en.wikipedia.org/wiki/Mayani_Bird_Sanctuary,Q1191,Maharashtra,medium,"wikilink #4 in the lead, ""Maharashtra"" (Q1191), is an instance of Q12443800",Q6796837	P131	Q1191
Q7005299,https://www.wikidata.org/wiki/Q7005299,New Amarambalam Reserved Forest,,Western Ghats,http://commons.wikimedia.org/wiki/Special:FilePath/Nilgiri%20wood%20pigeon%20%28Columba%20elphinstonii%29.jpg,IUCN category II: National Park,,,11.23333333,76.18333333,Nilambur,part of UNESCO World Heritage Site,24697,,,New Amarambalam Reserved Forest,,https://en.wikipedia.org/wiki/New_Amarambalam_Reserved_Forest,Q1186,Kerala,low,"ambiguous: lead links to 2 different matching items (Q1186, Q1445); using the first, ""Kerala""",
Q7050184,https://www.wikidata.org/wiki/Q7050184,Noradehi,,,,IUCN category IV: Habitat/Species Management Area,,,23.17814167,79.20188611,,,,,,,,https://en.wikipedia.org/wiki/Noradehi,Q1188,Madhya Pradesh,medium,"wikilink #3 in the lead, ""Madhya Pradesh"" (Q1188), is an instance of Q12443800",Q7050184	P131	Q1188
Q7122045,https://www.wikidata.org/wiki/Q7122045,Pachmarhi Biosphere Reserve,,,,,,,22.183,77.783,,,,,,Pachmarhi Biosphere Reserve,,https://en.wikipedia.org/wiki/Pachmarhi_Biosphere_Reserve,Q1188,Madhya Pradesh,medium,"wikilink #3 in the lead, ""Madhya Pradesh"" (Q1188), is an instance of Q12443800",Q7122045	P131	Q1188
Q16253187,https://www.wikidata.org/wiki/Q16253187,Bankapur Peacock Sanctuary,Wildlife Sanctuary,,,,,,14.92,75.262,,,,,,,,https://en.wikipedia.org/wiki/Bankapura_Peacock_Sanctuary,Q1185,Karnataka,medium,"wikilink #2 in the lead, ""Karnataka"" (Q1185), is an instance of Q12443800",Q16253187	P131	Q1185
Q28173945,https://www.wikidata.org/wiki/Q28173945,Khonoma Nature Conservation and Tragopan Sanctuary,Wildlife Sanctuary,,,,,,25.6267,94.0021,Kohima,,,,,,,https://en.wikipedia.org/wiki/Khonoma_Nature_Conservation_and_Tragopan_Sanctuary,Q1599,Nagaland,medium,"wikilink #2 in the lead, ""Nagaland"" (Q1599), is an instance of Q12443800",Q28173945	P131	Q1599
Q38250531,https://www.wikidata.org/wiki/Q38250531,Akal Wood Fossil Park,,,,,,,26.825,71.04,,,,,,,,https://en.wikipedia.org/wiki/Akal_Wood_Fossil_Park,Q1437,Rajasthan,medium,"wikilink #4 in the lead, ""Rajasthan"" (Q1437), is an instance of Q12443800",Q38250531	P131	Q1437
Q38251694,https://www.wikidata.org/wiki/Q38251694,Sumin Reserve Forest,,,,,,,27.22305556,88.52722222,Rangpo,,,,,,,https://en.wikipedia.org/wiki/Sumin_Reserve_Forest,Q1505,Sikkim,medium,"wikilink #6 in the lead, ""Sikkim"" (Q1505), is an instance of Q12443800",Q38251694	P131	Q1505
Q39057492,https://www.wikidata.org/wiki/Q39057492,Nilambur Elephant Reserve,,,,,,,11.266666666,76.475,Nilambur,,,,,,,https://en.wikipedia.org/wiki/Nilambur_Elephant_Reserve,Q1186,Kerala,medium,"wikilink #2 in the lead, ""Kerala"" (Q1186), is an instance of Q12443800",Q39057492	P131	Q1186
Q48725066,https://www.wikidata.org/wiki/Q48725066,Masai Plateau,,,,,,,16.833961111,74.080644444,Kolhapur,,,,,,,https://en.wikipedia.org/wiki/Masai_Plateau,Q1191,Maharashtra,medium,"wikilink #7 in the lead, ""Maharashtra"" (Q1191), is an instance of Q12443800",Q48725066	P131	Q1191
