"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S.O. 1264","2011-06-01","Girnar WL Sanctuary","Q131939336","https://archive.org/details/in.gazette.central.e.2011-06-01.009","title","in.gazette.central.e.2011-06-01.009","gazetteofindia;JaiGyan","Government of India","2011-06-01","Ministry of Environment and Forests",,"The Central Govt. hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette of India containing this notification are made available to the Public.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2011-06-01.009/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1265","2011-06-01","Narayan Sarovar Wildlife Sanctuary","Q6965495","NONE",,,,,,,,,,,,,,
"S.O. 1266","2011-06-01","Purna WL Sanctuary","Q19895529","NONE",,,,,,,,,,,,,,
"S.O. 1267","2011-06-01","Vansda WLS","Q2669063","https://archive.org/details/in.gazette.central.e.2011-06-01.009","title","in.gazette.central.e.2011-06-01.009","gazetteofindia;JaiGyan","Government of India","2011-06-01","Ministry of Environment and Forests",,"The Central Govt. hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette of India containing this notification are made available to the Public.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2011-06-01.009/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1270(E)","2016-03-31","Madhav National Park","Q2604975","https://archive.org/details/in.gazette.central.e.2016-03-31.168939","title","in.gazette.central.e.2016-03-31.168939","gazetteofindia;JaiGyan","Government of India","2016-03-31","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by subsection 1, read with clause v and clause xiv of subsection 2, of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-03-31.168939/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1275(E)","2016-03-31","Melukote Wildlife Sanctuary","Q137699195","https://archive.org/details/in.gazette.central.e.2016-03-31.168936","title","in.gazette.central.e.2016-03-31.168936","gazetteofindia;JaiGyan","Government of India","2016-03-31","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by subsection 1, read with clause v and clause xiv of subsection 2 and subsection",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-03-31.168936/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1276(E)","2016-03-31","Periyar Tiger Reserve","Q548153","https://archive.org/details/in.gazette.central.e.2016-03-31.168946","title","in.gazette.central.e.2016-03-31.168946","gazetteofindia;JaiGyan","Government of India","2016-03-31","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub section 1, read with clause v and clause xiv of sub section 2 and sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-03-31.168946/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1277(E)","2016-03-31","Sanjay National Park","Q3092341","https://archive.org/details/in.gazette.central.e.2016-03-31.168951","description","in.gazette.central.e.2016-03-31.168951","gazetteofindia;JaiGyan","Government of India","2016-03-31","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-03-31.168951/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1277(E)","2016-03-31","Sanjay Dubari Wildlife Sanctuary",,"https://archive.org/details/in.gazette.central.e.2016-03-31.168951","description","in.gazette.central.e.2016-03-31.168951","gazetteofindia;JaiGyan","Government of India","2016-03-31","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-03-31.168951/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1277(E)","2016-03-31","Sanjay National Park and Sanjay Dubari Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 1308 (E)","2017-04-26","Narsinghgarh Wildlife Sanctuary","Q135404149","https://archive.org/details/in.gazette.central.e.2017-04-26.175749","description","in.gazette.central.e.2017-04-26.175749","gazetteofindia;JaiGyan","Government of India","2017-04-26","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-04-26.175749/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1311 (E)","2017-04-26","Keibul Lamjao National Par","Q1737898","https://archive.org/details/in.gazette.central.e.2017-04-26.175650","description","in.gazette.central.e.2017-04-26.175650","gazetteofindia;JaiGyan","Government of India","2017-04-26","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-04-26.175650/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1315(E)","2019-03-11","Jai Prakash Narayan (Surahatal) Bird Sanctuary",,"https://archive.org/details/in.gazette.central.e.2019-03-11.200110","description","in.gazette.central.e.2019-03-11.200110","gazetteofindia;JaiGyan","Government of India","2019-03-11","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India,Extraordinary vide notification",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-03-11.200110/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1315(E)","2019-03-11","Surha Tal Bird Sanctuary","Q137699192",,,,,,,,,,,,,,,
"S.O. 1316(E)","2019-03-11","around Jambugodha Wildlife Sanctuary",,"https://archive.org/details/in.gazette.central.e.2019-03-11.200267","description","in.gazette.central.e.2019-03-11.200267","gazetteofindia;JaiGyan","Government of India","2019-03-11","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-03-11.200267/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1316(E)","2019-03-11","Jambugodha Wildlife Sanctuary","Q2757724",,,,,,,,,,,,,,,
"S.O. 1322(E)","2020-04-23","Thimlapura Wildlife Santuary","Q111913930","NONE",,,,,,,,,,,,,,
"S.O. 1330(E)","2022-03-25","Kazinag National Park","Q111181101","NONE",,,,,,,,,,,,,,
"S.O. 1330(E)","2022-03-25","Kazinag National Park,","Q111181101",,,,,,,,,,,,,,,
"S.O. 1331(E)","2022-03-25","Nargu Wildlife Sanctuary","Q6965894","NONE",,,,,,,,,,,,,,
"S.O. 1331(E)","2022-03-25","Nargu Wildlife Sanctuary, Himachal Pradesh","Q6965894",,,,,,,,,,,,,,,
"S.O. 1361(E)","2016-04-08","Gautam Buddha Wildlife Sanctuary","Q18343586","https://archive.org/details/in.gazette.central.e.2016-04-08.169081","description","in.gazette.central.e.2016-04-08.169081","gazetteofindia;JaiGyan","Government of India","2016-04-08","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-08.169081/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1361(E)","2022-03-25","Neyyar Wildlife Sanctuary","Q6807544","NONE",,,,,,,,,,,,,,
"S.O. 1361(E)","2022-03-25","Peppara Wildlife Sanctuary","Q6809163","NONE",,,,,,,,,,,,,,
"S.O. 1361(E)","2022-03-25","Neyyar and Peppara Wildlife Sanctuary",,,,,,,,,,,,,,,,
"S.O. 1363(E)","2016-04-08","Dibru-Saikhowa National Park","Q1209353","https://archive.org/details/in.gazette.central.e.2016-04-08.169083","description","in.gazette.central.e.2016-04-08.169083","gazetteofindia;JaiGyan","Government of India","2016-04-08","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-08.169083/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1364(E)","2016-04-08","Barail Wildlife Sanctuary","Q19326278","https://archive.org/details/in.gazette.central.e.2016-04-08.169080","description","in.gazette.central.e.2016-04-08.169080","gazetteofindia;JaiGyan","Government of India","2016-04-08","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-08.169080/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1365(E)","2017-04-28","Barda Wildlife Sanctuary","Q4860066","https://archive.org/details/in.gazette.central.e.2017-04-28.175827","description","in.gazette.central.e.2017-04-28.175827","gazetteofindia;JaiGyan","Government of India","2017-04-28","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-04-28.175827/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1366 (E)","2017-04-28","Kambalakonda Wildlife Sanctuary","Q12060948","https://archive.org/details/in.gazette.central.e.2017-04-28.175715","description","in.gazette.central.e.2017-04-28.175715","gazetteofindia;JaiGyan","Government of India","2017-04-28","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-04-28.175715/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1367 (E)","2017-04-28","Kalsubai Harishchandragad Wildlife Sanctuary","Q137008662","https://archive.org/details/in.gazette.central.e.2017-04-28.175710","title","in.gazette.central.e.2017-04-28.175710","gazetteofindia;JaiGyan","Government of India","2017-04-28","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-04-28.175710/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1382","2015-05-22","Abohar Wildlife Sanctuary","Q110078182","https://archive.org/details/in.gazette.central.e.2015-05-22.164353","title","in.gazette.central.e.2015-05-22.164353","gazetteofindia;JaiGyan","Government of India","2015-05-22","Ministry of Environment and Forests","Climate Change Division","The Central Govt. hereby notifies an area to an extent upto 100 metres all around the boundary of the Abohar Wildlife Sanctuary in the State of Punjab as the Abohar Wildlife Sanctuary Eco-sensitive Zone.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-05-22.164353/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 139(E)","2016-01-13","Pushpagiri Wildlife Sanctuary","Q7261843","NONE",,,,,,,,,,,,,,
"S.O. 1395","2015-05-25","Khol Hi Raitan Wildlife Sanctuary","Q17002860","https://archive.org/details/in.gazette.central.e.2015-05-25.164676","title","in.gazette.central.e.2015-05-25.164676","gazetteofindia;JaiGyan","Government of India","2015-05-25","Ministry of Environment and Forests","Climate Change Division","The Central Govt., proposes to issue in exercise of the powers conferred by sub section (1), read with clause (v) and clause (xiv) of sub-section (2) and sub section (3) of section 3 of the Environment (Protection) Act, 1986 (29 of 1986) is hereby published, as required under sub rule (3) of rule 5 of the Environment (Protection) Rules, 1986.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-05-25.164676/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 140(E)","2016-01-13","Someshwara Wildlife Sanctuary","Q7559997","NONE",,,,,,,,,,,,,,
"S.O. 1432 (E)","2017-05-05","Manjeera Wildlife Sanctuary","WIKIPEDIA:telangana:manjira-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2017-05-05.175846","description","in.gazette.central.e.2017-05-05.175846","gazetteofindia;JaiGyan","Government of India","2017-05-05","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest and Climate Change",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-05.175846/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1439 (E)","2016-04-19","Panidehing Bird Sanctuary","Q14623377","https://archive.org/details/in.gazette.central.e.2016-04-19.169239","description","in.gazette.central.e.2016-04-19.169239","gazetteofindia;JaiGyan","Government of India","2016-04-19","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-19.169239/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1447","2015-05-26","Bir Shikargarh Wildlife Sanctuar","Q17002798","NONE",,,,,,,,,,,,,,
"S.O. 1448","2015-06-01","Map",,"https://archive.org/details/in.gazette.central.e.2015-06-01.165187","title","in.gazette.central.e.2015-06-01.165187","gazetteofindia;JaiGyan","Government of India","2015-06-01","Ministry of Environment, Forests and Climate Change",,"The Central Govt., proposes to issue in exercise of the powers conferred by sub-section (1), read with clause (v) and clause (xiv) of sub-section (2) and sub-section (3) of section 3 of the Environment (Protection) Act, 1986 (29 of 1986) is hereby published, as required under sub-rule (3) of rule 5 of the Environment (Protection) Rules, 1986.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-06-01.165187/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1448","2015-06-01","Painganga Wildlife Sanctuary","Q113396038",,,,,,,,,,,,,,,
"S.O. 1450","2015-06-01","Pakhal Wildlife Sanctuary","Q120756030","https://archive.org/details/in.gazette.central.e.2015-06-01.164862","description","in.gazette.central.e.2015-06-01.164862","gazetteofindia;JaiGyan","Government of India","2015-06-01","Ministry of Environment and Forests",,"is hereby published, as required under sub-rule (3) of rule 5 of the Environment (Protection) Rules, 1986, for the information of the public likely to be affected thereby and notice is hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette containing this notification are made available to the public",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-06-01.164862/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1454 (E)","2015-06-02","Bir Moti Bagh Wildlife Sanctuary","WIKIPEDIA:punjab:bir-motibagh-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2015-06-02.164458","title","in.gazette.central.e.2015-06-02.164458","gazetteofindia;JaiGyan","Government of India","2015-06-02","Ministry of Environment and Forests","Climate Change Division","The Central Govt. hereby notifies an area to an extent up to100 metres all aroundthe boundary of the Bir Moti Bagh Wildlife Sanctuary in the State of Punjab as the Eco-sensitive Zone (hereinafter referred to asthe Eco-sensitive Zone), details of which are as under.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-06-02.164458/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1499","2015-06-01","Nahar Wildlife Sanctuary","Q17002923","NONE",,,,,,,,,,,,,,
"S.O. 1558","2015-06-12","Gautala Wildlife Sanctuary","WIKIPEDIA:maharashtra:gautala-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2015-06-12.164726","description","in.gazette.central.e.2015-06-12.164726","gazetteofindia;JaiGyan","Government of India","2015-06-12","Ministry of Environment and Forests",,"Environment (Protection) Act, 1986 (29 of 1986) is hereby published, as required under sub-rule (3) of rule 5 of the Environment (Protection) Rules, 1986, for the information of the public likely to be affected thereby and notice is hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette containing this notification are made available to the Public",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-06-12.164726/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1563 (E)","2017-05-15","Rajiv Gandhi National Park","Q96401141","https://archive.org/details/in.gazette.central.e.2017-05-15.176108","description","in.gazette.central.e.2017-05-15.176108","gazetteofindia;JaiGyan","Government of India","2017-05-15","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-15.176108/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1564 (E)","2017-05-15","Talacauvery Wildlife Sanctuary","Q7678819","https://archive.org/details/in.gazette.central.e.2017-05-15.176128","description","in.gazette.central.e.2017-05-15.176128","gazetteofindia;JaiGyan","Government of India","2017-05-15","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas a draft notification was published in the Gazette of India Extraordinary vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-15.176128/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1565 (E)","2017-05-15","Sagareshwar WLS","Q7399055","https://archive.org/details/in.gazette.central.e.2017-05-15.176138","description","in.gazette.central.e.2017-05-15.176138","gazetteofindia;JaiGyan","Government of India","2017-05-15","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-15.176138/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1566 (E)","2017-05-15","Rowa Wildlife Sanctuary","Q7371766","https://archive.org/details/in.gazette.central.e.2017-05-15.176106","description","in.gazette.central.e.2017-05-15.176106","gazetteofindia;JaiGyan","Government of India","2017-05-15","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-15.176106/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1566(E)","2016-04-28","Kibber Wild Life Sanctuary","Q135404156","https://archive.org/details/in.gazette.central.e.2016-04-28.169345","description","in.gazette.central.e.2016-04-28.169345","gazetteofindia;JaiGyan","Government of India","2016-04-28","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-28.169345/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1567 (E)","2017-05-15","Great Indian Bustard Rollapadu Wildlife Sanctuary","Q17087471","https://archive.org/details/in.gazette.central.e.2017-05-15.176129","description","in.gazette.central.e.2017-05-15.176129","gazetteofindia;JaiGyan","Government of India","2017-05-15","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-15.176129/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1567(E)","2016-04-28","Nandini Wildlife Sanctuary","WIKIPEDIA:jammu-and-kashmir:nandini-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2016-04-28.169349","description","in.gazette.central.e.2016-04-28.169349","gazetteofindia;JaiGyan","Government of India","2016-04-28","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-04-28.169349/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1568 (E)","2017-05-15","Harika Wildlife Sanctuary",,"https://archive.org/details/in.gazette.central.e.2017-05-15.176114","description","in.gazette.central.e.2017-05-15.176114","gazetteofindia;JaiGyan","Government of India","2017-05-15","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-05-15.176114/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1568 (E)","2017-05-15","Harike Wildlife Sanctuary","WIKIPEDIA:punjab:harike-lake-wildlife-sanctuary",,,,,,,,,,,,,,,
"S.O. 1601","2015-06-16","Bhitarkanika Wildlife Sanctuary","Q2580141","https://archive.org/details/in.gazette.central.e.2015-06-16.164622","title","in.gazette.central.e.2015-06-16.164622","gazetteofindia;JaiGyan","Government of India","2015-06-16","Ministry of Environment and Forests","Climate Change Division","The Central Govt. hereby notifies an area upto two kilometres from the boundary of the protected areas of the Bhitarkanika Wildlife Sanctuary, Bhitarkanika National Park and Gahirmatha (Marine) Wildlife Sanctuary in the State of Odisha as the Eco-sensitive Zone, details of which are as under.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-06-16.164622/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1601","2015-06-16","Gahirmatha (Marine) Wildlife Sanctuary","Q22031428","https://archive.org/details/in.gazette.central.e.2015-06-16.164622","title","in.gazette.central.e.2015-06-16.164622","gazetteofindia;JaiGyan","Government of India","2015-06-16","Ministry of Environment and Forests","Climate Change Division","The Central Govt. hereby notifies an area upto two kilometres from the boundary of the protected areas of the Bhitarkanika Wildlife Sanctuary, Bhitarkanika National Park and Gahirmatha (Marine) Wildlife Sanctuary in the State of Odisha as the Eco-sensitive Zone, details of which are as under.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-06-16.164622/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 1601","2015-06-16","Bhitarkanika Wildlife Sanctuary and Gahirmatha (Marine) Wildlife Sanctuary","Q22031428",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
"S.O. 1602",,"Bir Aishwan Wildlife Sanctuary","Q135798492",,,,,,,,,,,,,,,
