"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S.O. 3236(E)","2020-09-22","Kanyakumari Wildlife Sanctuary","Q16979364","NONE",,,,,,,,,,,,,,
"S.O. 3236(E)","2020-09-22","Kanniyakumari Wildlife Sanctuary","Q16979364",,,,,,,,,,,,,,,
"S.O. 3237(E)","2020-09-22","Mahananda","Q15243705","NONE",,,,,,,,,,,,,,
"S.O. 3243(E)","2024-08-09","Kamlang Wildlife Sanctuary","Q22231355","NONE",,,,,,,,,,,,,,
"S.O. 3243(E)","2024-08-09","Namdapha Tiger Reserve","Q1815612","NONE",,,,,,,,,,,,,,
"S.O. 3243(E)","2024-08-09","Kamlang Wildlife Sanctuary and Namdapha Tiger Reserve",,,,,,,,,,,,,,,,
"S.O. 3249(E)","2019-09-11","Tadoba Tiger National Park Andhari","Q2639563","https://archive.org/details/in.gazette.central.e.2019-09-11.212325","description","in.gazette.central.e.2019-09-11.212325","gazetteofindia;JaiGyan","Government of India","2019-09-11","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-09-11.212325/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3250(E)","2019-09-11","Tungareshwar Sanctuary","Q60753866","https://archive.org/details/in.gazette.central.e.2019-09-11.212461","description","in.gazette.central.e.2019-09-11.212461","gazetteofindia;JaiGyan","Government of India","2019-09-11","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary vide notification of the Government of India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-09-11.212461/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3262(E)","2018-07-05","Therthnagal Bird Sanctuary","Q135622710","https://archive.org/details/in.gazette.central.e.2018-07-05.187209","description","in.gazette.central.e.2018-07-05.187209","gazetteofindia;JaiGyan","Government of India","2018-07-05","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2018-07-05.187209/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3263(E)","2018-07-05","Nandankanan WLS","Q106240301","https://archive.org/details/in.gazette.central.e.2018-07-05.187127","description","in.gazette.central.e.2018-07-05.187127","gazetteofindia;JaiGyan","Government of India","2018-07-05","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2018-07-05.187127/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
